event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
174,2.7013742000000001,3.5514786081141447,true,0.46674559471031352,true,0.44671263734387884,1706,81,8.8931816251424378e-323,3,1,MIP
175,2.7018751000000001,3.5520814611570306,true,0.46674559471031352,true,0.44692590305042135,1707,80,8.8931816251424378e-323,3,1,MIP
176,2.7043560000000002,3.5555126043801089,true,0.46674559471031352,true,0.44760576135610508,1710,79,8.8931816251424378e-323,3,1,MIP
177,2.7078818999999998,3.5604213221038985,true,0.46674559471031352,true,0.44778903503508127,1714,80,8.8931816251424378e-323,3,1,MIP
178,2.7107562999999999,3.5639458392592016,true,0.46674559471031352,true,0.44797866780603968,1721,75,8.8931816251424378e-323,3,1,MIP
179,2.7174790999999998,3.5735102995876993,true,0.46674559471031352,true,0.4483178836866491,1722,76,8.8931816251424378e-323,3,1,MIP
180,2.7181942000000001,3.5745795495609696,true,0.46674559471031352,true,0.4490213864737278,1723,77,8.8931816251424378e-323,3,1,MIP
181,2.7241604000000001,3.5820062698308073,true,0.46674559471031352,true,0.44902226775668935,1730,73,8.8931816251424378e-323,3,1,MIP
182,2.7322161,3.5940632200394198,true,0.46674559471031352,true,0.44982935712743377,1732,71,8.8931816251424378e-323,3,1,MIP
183,2.7352964000000002,3.5978772276791218,true,0.46674559471031352,true,0.44987218704443865,1733,72,8.8931816251424378e-323,3,1,MIP
184,2.7362636999999999,3.5994913069961729,true,0.46674559471031352,true,0.45001738714900508,1734,71,8.8931816251424378e-323,3,1,MIP
185,2.7534215999999998,3.6223775232118975,true,0.46674559471031352,true,0.4502652900187798,1750,72,8.8931816251424378e-323,3,1,MIP
186,2.7570638999999999,3.6273710722582089,true,0.46674559471031352,true,0.45029086677871349,1755,67,8.8931816251424378e-323,3,1,MIP
187,2.7624447999999999,3.6345270979600497,true,0.46674559471031352,true,0.45103953336677283,1756,68,8.8931816251424378e-323,3,1,MIP
188,2.7627484,3.6349229799655625,true,0.46674559471031352,true,0.45112438796819609,1757,69,8.8931816251424378e-323,3,1,MIP
189,2.7879689000000001,3.6686763596664029,true,0.46674559471031352,true,0.45124484562069833,1779,71,8.8931816251424378e-323,3,1,MIP
190,2.8028580999999999,3.6894920784285445,true,0.46674559471031352,true,0.45137135374945092,1791,73,8.8931816251424378e-323,3,1,MIP
191,2.8059645,3.6936915327928768,true,0.46674559471031352,true,0.45148293900373887,1796,72,8.8931816251424378e-323,3,1,MIP
192,2.8176682999999998,3.7100386993844006,true,0.46674559471031352,true,0.45166537268188167,1814,75,8.8931816251424378e-323,3,1,MIP
193,2.8180355000000001,3.7106907947086132,true,0.46674559471031352,true,0.45174493794661319,1815,76,8.8931816251424378e-323,3,1,MIP
194,2.8280476000000001,3.7250318482670561,true,0.46674559471031352,true,0.45249617354868393,1822,76,8.8931816251424378e-323,3,1,MIP
195,2.8425614000000001,3.7443016610259878,true,0.46438113286571425,true,0.45249617354868393,1831,78,9.3872472709836843e-323,3,1,MIP
196,2.8498218,3.753961028996232,true,0.46438113286571425,true,0.45251421914899082,1839,76,9.3872472709836843e-323,3,1,MIP
197,2.8607391,3.7669892779302252,true,0.46438113286571425,true,0.45260337619299751,1854,78,9.3872472709836843e-323,3,1,MIP
198,2.8632037000000001,3.7698694188717847,true,0.46434757248188274,true,0.45260337619299751,1856,80,9.8813129168249309e-323,3,1,MIP
199,2.8815282,3.7956095545406345,true,0.46434757248188274,true,0.45265568041078774,1875,90,9.8813129168249309e-323,3,1,MIP
200,2.9209228,3.8473261535478058,true,0.46434757248188274,true,0.45265678385107938,1937,98,9.8813129168249309e-323,3,1,MIP
201,2.9332514999999999,3.8630930711528513,true,0.46434757248188274,true,0.45312210743717951,1952,97,9.8813129168249309e-323,3,1,MIP
202,2.9337646999999998,3.8636040082881471,true,0.46434757248188274,true,0.45325874288531959,1953,98,9.8813129168249309e-323,3,1,MIP
203,2.9461624999999998,3.8798732457662992,true,0.46434757248188274,true,0.45343774935843084,1969,105,9.8813129168249309e-323,3,1,MIP
204,2.9492938,3.8835643741256014,true,0.46434757248188274,true,0.45379917276740733,1973,103,9.8813129168249309e-323,3,1,MIP
205,2.9505789999999998,3.8855270168541582,true,0.46434757248188274,true,0.45381205338827557,1974,104,9.8813129168249309e-323,3,1,MIP
206,2.9561818,3.8928811113989812,true,0.46434757248188274,true,0.45392750205782795,1986,105,9.8813129168249309e-323,3,1,MIP
207,2.9650446000000001,3.9017803532394444,true,0.46434757248188274,true,0.45396641921015518,1997,102,9.8813129168249309e-323,3,1,MIP
208,2.9679980000000001,3.9045075453090101,true,0.46434757248188274,true,0.45404044760762913,2000,103,9.8813129168249309e-323,3,1,MIP
209,2.9887134,3.9313619757755776,true,0.46434757248188274,true,0.45412759982306289,2017,106,9.8813129168249309e-323,3,1,MIP
210,2.9897695,3.9331036824324368,true,0.46434757248188274,true,0.45428120633178104,2018,105,9.8813129168249309e-323,3,1,MIP
211,2.9920239,3.9367409254033738,true,0.46434757248188274,true,0.45438106443167964,2019,106,9.8813129168249309e-323,3,1,MIP
212,2.9928580999999999,3.9379959667356363,true,0.46434757248188274,true,0.45439739499557735,2020,107,9.8813129168249309e-323,3,1,MIP
213,3.0046198,3.9562184120572819,true,0.46434757248188274,true,0.45445134715725838,2034,109,9.8813129168249309e-323,3,1,MIP
214,3.0134444,3.9668747169639129,true,0.46434757248188274,true,0.45459702883292857,2036,109,9.8813129168249309e-323,3,1,MIP
215,3.0151512999999999,3.9692317431302921,true,0.46434757248188274,true,0.45469701102508675,2037,110,9.8813129168249309e-323,3,1,MIP
216,3.0312418999999999,3.9895194268735694,true,0.46434757248188274,true,0.4548598875257312,2062,114,9.8813129168249309e-323,3,1,MIP
217,3.0422796999999999,4.0041675179672458,true,0.46434757248188274,true,0.45486809456910604,2073,117,9.8813129168249309e-323,3,1,MIP
218,3.0547710000000001,4.0208531455061394,true,0.46434757248188274,true,0.4550052101674924,2094,124,9.8813129168249309e-323,3,1,MIP
219,3.0632931000000001,4.032437350189646,true,0.46434757248188274,true,0.4551346644168715,2105,121,9.8813129168249309e-323,3,1,MIP
220,3.0637406,4.0330423086880174,true,0.46434757248188274,true,0.45538486551419705,2106,120,9.8813129168249309e-323,3,1,MIP
221,3.0662379,4.036621826133465,true,0.46434757248188274,true,0.45549473513179484,2111,119,9.8813129168249309e-323,3,1,MIP
222,3.0705939,4.0412570524658431,true,0.46434757248188274,true,0.45557482852781389,2118,120,9.8813129168249309e-323,3,1,MIP
223,3.0747146999999999,4.0473730610581837,true,0.46434757248188274,true,0.45578859548132117,2125,118,9.8813129168249309e-323,3,1,MIP
224,3.0781912999999999,4.0515942216338994,true,0.46434757248188274,true,0.45586078758907173,2129,118,9.8813129168249309e-323,3,1,MIP
225,3.0830593999999998,4.0583411911520049,true,0.46434757248188274,true,0.4559018951914835,2140,117,9.8813129168249309e-323,3,1,MIP
226,3.0904411000000001,4.0675775280213315,true,0.46434757248188274,true,0.45592411128552129,2153,117,9.8813129168249309e-323,3,1,MIP
227,3.0998282000000001,4.0807776947891092,true,0.46434757248188274,true,0.45592570127459109,2171,125,9.8813129168249309e-323,3,1,MIP
228,3.1120811000000002,4.0981754343989163,true,0.46434757248188274,true,0.45604071117087014,2194,124,9.8813129168249309e-323,3,1,MIP
229,3.1160369999999999,4.1034292435266311,true,0.46434757248188274,true,0.45606642840878231,2195,124,9.8813129168249309e-323,3,1,MIP
230,3.1161482999999999,4.1035708945266309,true,0.46434757248188274,true,0.45608300147791581,2196,123,9.8813129168249309e-323,3,1,MIP
231,3.1188788999999999,4.1078480900878303,true,0.46434757248188274,true,0.45618805171936921,2198,125,9.8813129168249309e-323,3,1,MIP
232,3.1223302999999998,4.1127173143870062,true,0.46434757248188274,true,0.45622414312906473,2203,122,9.8813129168249309e-323,3,1,MIP
233,3.1276807999999998,4.1195486210927692,true,0.46434757248188274,true,0.45632179229973491,2208,122,9.8813129168249309e-323,3,1,MIP
234,3.1312091999999998,4.1233622713976859,true,0.46434757248188274,true,0.45644662268997699,2212,121,9.8813129168249309e-323,3,1,MIP
235,3.1375541,4.1319319118412334,true,0.46434757248188274,true,0.45646749725887387,2220,119,9.8813129168249309e-323,3,1,MIP
236,3.1376472,4.1320229688412331,true,0.46434757248188274,true,0.45651018320870101,2221,118,9.8813129168249309e-323,3,1,MIP
237,3.1406957000000002,4.1362634071164361,true,0.46434757248188274,true,0.45654941925144249,2225,117,9.8813129168249309e-323,3,1,MIP
238,3.1410296,4.1368294850901908,true,0.46434757248188274,true,0.4566526784953891,2226,118,9.8813129168249309e-323,3,1,MIP
239,3.1432785999999999,4.1398387152497635,true,0.46434757248188274,true,0.45675457653241214,2233,115,9.8813129168249309e-323,3,1,MIP
240,3.1490771999999998,4.1433817638107788,true,0.46434757248188274,true,0.45677452073459768,2236,114,9.8813129168249309e-323,3,1,MIP
241,3.1543063999999998,4.1471049710376304,true,0.46434757248188274,true,0.45684807060793448,2238,114,9.8813129168249309e-323,3,1,MIP
242,3.1553095,4.147727857482951,true,0.46434757248188274,true,0.45686104676662215,2239,115,9.8813129168249309e-323,3,1,MIP
243,3.1679748000000001,4.1626067471814165,true,0.46434757248188274,true,0.45686204793686663,2255,114,9.8813129168249309e-323,3,1,MIP
244,3.1710433999999998,4.1662374381823719,true,0.46434757248188274,true,0.45697371992151758,2259,112,9.8813129168249309e-323,3,1,MIP
245,3.1730383999999998,4.1692775794112888,true,0.46434757248188274,true,0.45700159185654615,2260,113,9.8813129168249309e-323,3,1,MIP
