leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0.0.1.1.0.1.1,"L0.0.1.1.0.1",6,0.020633506159466148,0.021397710091298226,1,1,0,1,0.13980250401926922,"OPTIMAL",0.55459732597216271,48.155191799999997
L0.1.0.1.0.1.0.0,"L0.1.0.1.0.1.0",7,0.032096565136947343,0.032478667102863387,1,1,0,1,0.13942681497122117,"OPTIMAL",0.69472360487679774,49.639105399999998
L0.1.0.1.0.1.0.1,"L0.1.0.1.0.1.0",7,0.032478667102863387,0.032860769068779425,1,1,0,1,0.13944934446634016,"OPTIMAL",0.80368694202396895,50.048809499999997
L0.1.0.1.0.1.1.0,"L0.1.0.1.0.1.1",7,0.032860769068779425,0.033242871034695462,1,1,0,1,0.13947274707570939,"OPTIMAL",0.78937022745879337,51.466037399999998
L0.1.0.1.0.1.1.1,"L0.1.0.1.0.1.1",7,0.033242871034695462,0.033624973000611499,1,1,0,1,0.13949554253779156,"OPTIMAL",0.71966646352930486,51.858317200000002
L0.1.1.0.0.0.0.0,"L0.1.1.0.0.0.0",7,0.036681788727939819,0.037063890693855864,1,1,0,1,0.13969187415780546,"OPTIMAL",0.68467588916297839,53.292403499999999
L0.1.1.0.0.0.0.1,"L0.1.1.0.0.0.0",7,0.037063890693855864,0.037445992659771901,1,1,0,1,0.13971269849702905,"OPTIMAL",0.61801881112238988,53.643451599999999
L0.1.1.0.0.0.1.0,"L0.1.1.0.0.0.1",7,0.037445992659771901,0.037828094625687939,1,1,0,1,0.13973384999087007,"OPTIMAL",0.82004216039497724,55.282592399999999
L0.1.1.0.0.0.1.1,"L0.1.1.0.0.0.1",7,0.037828094625687939,0.038210196591603976,1,1,0,1,0.13975427751574454,"OPTIMAL",0.81492969922620029,55.707991200000002
L0.1.1.0.1.0.0,"L0.1.1.0.1.0",6,0.039738604455268139,0.040502808387100214,1,1,0,1,0.13988274799688002,"OPTIMAL",1.5515332401700892,57.080967200000003
L0.1.1.0.1.0.1,"L0.1.1.0.1.0",6,0.040502808387100214,0.041267012318932296,1,1,0,1,0.14003675339818714,"OPTIMAL",1.2309540514298707,57.623147199999998
L0.1.0.1.0.1.0.0.0,"L0.1.0.1.0.1.0.0",8,0.032096565136947343,0.032287616119905369,1,1,0,1,0.13952081465033189,"OPTIMAL",0.51926142468186587,58.594369700000001
L0.1.0.1.0.1.0.0.1,"L0.1.0.1.0.1.0.0",8,0.032287616119905369,0.032478667102863387,1,1,0,1,0.13953281761623015,"OPTIMAL",0.69246057250788973,58.974066000000001
L0.1.0.1.0.1.0.1.0,"L0.1.0.1.0.1.0.1",8,0.032478667102863387,0.032669718085821406,1,1,0,1,0.13954457902296002,"OPTIMAL",0.7427461829041383,81.348698299999995
