file,method,instance_name,finalization_source,lower_bound,best_valid_lb_seen,gap,best_valid_gap_seen,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_time_limit_with_valid_best_bound,1.72968212852,1.72968212852,0.0112223018183,0.0112223018183,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.682832,1.682832,0.0380043107613,0.0380043107613,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_time_limit_with_valid_best_bound,1.67721960589,1.67721960589,0.0412126517813,0.0412126517813,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.697023,1.697023,0.0298919853325,0.0298919853325,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_time_limit_with_valid_best_bound,1.6970231766,1.6970231766,0.0298918843771,0.0298918843771,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.674685,1.674685,0.0426615664352,0.0426615664352,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s_auto_oracle\interval_4.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_time_limit_with_valid_best_bound,1.67468507283,1.67468507283,0.0426615247989,0.0426615247989,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s_auto_oracle\interval_5.json,interval-cutoff-oracle,high_imbalance_seed3202.txt,cplex_solver_final,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.74931345205,1.74931345205,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__plain_cplex__1800s.json,cplex,moderate_seed3301.txt,solver_final_json,0.040996444816,0.040996444816,0.18080171743,0.18080171743,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__plain_cplex__300s.json,cplex,moderate_seed3301.txt,solver_final_json,0.037866383531,0.037866383531,0.479376638002,0.479376638002,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__plain_cplex__900s.json,cplex,moderate_seed3301.txt,solver_final_json,0.040607297356,0.040607297356,0.182084120451,0.182084120451,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__1800s.json,gcap-frontier,moderate_seed3301.txt,solver_final_json,0.048294,0.048294,0.0174671022805,0.0174671022805,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_0.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_solver_final,0.0491525526647,0.0491525526647,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_1.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_time_limit_with_valid_best_bound,0.0483824351421,0.0483824351421,0.0156679049395,0.0156679049395,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_2.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_time_limit_with_valid_best_bound,0.0482942540441,0.0482942540441,0.0174619337973,0.0174619337973,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_3.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_solver_final,0.0491525526647,0.0491525526647,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__moderate_seed3301__tailored_controlling_scheduler_static__300s.json,gcap-frontier,moderate_seed3301.txt,solver_final_json,0.045742,0.045742,0.0693870914092,0.0693870914092,True,
