source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_current_best_new_combined_paper_safe_300s.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.271256974969,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.26223870307,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_all_new_paper_safe_cuts_300s.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.137847666689,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_current_best_new_combined_paper_safe_300s.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.137857150917,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.479879769485,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_certificate-basis-test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_gini-subset-envelope-test.json,gcap_smoke_V4_M1.txt,gini-subset-envelope-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_low-gini-l1-centering-test.json,gcap_smoke_V4_M1.txt,low-gini-l1-centering-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_option-consistency-test.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_s-bucket-coverage-test.json,gcap_smoke_V4_M1.txt,s-bucket-coverage-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-branch-callback-smoke-test.json,gcap_smoke_V4_M1.txt,tailored-bc-branch-callback-smoke-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-callback-smoke-test.json,gcap_smoke_V4_M1.txt,tailored-bc-callback-smoke-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_tailored-bc-cut-validity-test.json,gcap_smoke_V4_M1.txt,tailored-bc-cut-validity-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\validity_transfer-cutset-validity-test.json,gcap_smoke_V4_M1.txt,transfer-cutset-validity-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
