leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0.0.1.1.1,LP,"OPTIMAL",0,10.8792,0.136,0.394873,0,1561,0,0.0296434,c1a57c5b7d82d46f05deea397aa5a6d706bc07a26a8e31862b5b3c39c36c20a3,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.1_lp.gurobi.log"
L0.0.1.1.0.0,LP,"OPTIMAL",0,10.5956,0.14,0.415771,0,1726,0,0.0296434,6ea1f698edb7b76ce837d21e43ebd7608220bcaa617bed3088d117795ff7459e,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.0_lp.gurobi.log"
L0.0.1.1.0.1,LP,"OPTIMAL",0,10.3088,0.163,0.463013,0,1826,0,0.0296434,ebd4e207c88f3a04b8d82aa8f623006f79035516ef80451d0e941d9f349c8f9b,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.1_lp.gurobi.log"
L0.0.1.1.0.0.0,LP,"OPTIMAL",0,9.99935,0.148,0.424897,0,1714,0,0.0296434,c213f86d10ebfbdade9e51f307899607720f76d4ba2a2c7825f0d26d6e0dfe00,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.0.0_lp.gurobi.log"
L0.0.1.1.0.0.1,LP,"OPTIMAL",0,9.70497,0.143,0.412016,0,1712,0,0.0296434,18569ac724d565b1a492c38caa5a32c1979905ba4517b5d011ee6484616b537a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.0.1_lp.gurobi.log"
L0.0.1.1.0.0.0,MIP,"INFEASIBLE",0,9.52663,0.0079999,0.0164539,0,0,0,0.0296434,c213f86d10ebfbdade9e51f307899607720f76d4ba2a2c7825f0d26d6e0dfe00,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.0.0_terminal_mip.gurobi.log"
L0.0.1.1.0.0.1,MIP,"INFEASIBLE",0,9.483,0.113,0.256102,0,0,0,0.0296434,18569ac724d565b1a492c38caa5a32c1979905ba4517b5d011ee6484616b537a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.0.1_terminal_mip.gurobi.log"
L0.0.1.1.0.1.0,LP,"OPTIMAL",0,9.22377,0.158,0.455677,0,1933,0,0.0296434,cff6f30c3da718be70e2b3c8df15a4603f02ffc29b077386ea8954575e43fe78,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.1.0_lp.gurobi.log"
L0.0.1.1.0.1.1,LP,"OPTIMAL",0,8.91689,0.155,0.442634,0,1784,0,0.0296434,f0dcf30ff13e63cc365522dedbe19019d26304a5b0e34481b6c51ac15b765d7b,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.1.1_lp.gurobi.log"
L0.0.1.1.0.1.0,MIP,"INFEASIBLE",0,8.72766,0.114,0.256108,0,0,0,0.0296434,cff6f30c3da718be70e2b3c8df15a4603f02ffc29b077386ea8954575e43fe78,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.1.0_terminal_mip.gurobi.log"
L0.0.1.1.0.1.1,MIP,"INFEASIBLE",0,8.57703,0.216,0.396588,0,0,0,0.0296434,f0dcf30ff13e63cc365522dedbe19019d26304a5b0e34481b6c51ac15b765d7b,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0.1.1_terminal_mip.gurobi.log"
L0.0.1.1.1.0,LP,"OPTIMAL",0,8.21549,0.15,0.447437,0,1705,0,0.0296434,0e1306b849d6972698ad4f4d5b8a63bd9af5c634061117912839cf9fd5d04540,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.1.0_lp.gurobi.log"
L0.0.1.1.1.1,LP,"OPTIMAL",0,7.91935,0.142,0.409857,0,1669,0,0.0296434,ef380d98f026330b30ff696d343695b7f0fe6fbf6c952ca77461c1da9f99b968,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.1.1_lp.gurobi.log"
L0.0.1.1.1.0.0,LP,"OPTIMAL",0,7.63016,0.169,0.509807,0,1955,0,0.0296434,9d4ba1d6dde54681ec5b74ac66d9f818d2e0d5377cfd7c83468141e661360baa,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.1.0.0_lp.gurobi.log"
L0.0.1.1.1.0.1,LP,"OPTIMAL",0,7.3119,0.136,0.381709,0,1602,0,0.0296434,2d991ccf34ab94c8bdd72a7018e487413af213063c40124bd547ec86d505584f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.1.0.1_lp.gurobi.log"
