leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R.1.0.0.0.0.0.0.1.0.1,0.18034443507690512,0.18069326377144457,round19_v2_projected_centering,acb9f4a8e73c3762,a151f73d8525cf8429c4b8c0f4518ce5888e90740ae718a2c18d80126aa1a5bf,a151f73d8525cf8429c4b8c0f4518ce5888e90740ae718a2c18d80126aa1a5bf,6,9,0,1
R.1.0.0.0.0.0.0.1.0.0,0.17999560638236564,0.18034443507690512,round19_v2_projected_centering,5b3c5b21b4434606,dcc2216323c3781fb58cdc422dd0f4d8e3032b2d9c0f84b464f280a1ed129365,dcc2216323c3781fb58cdc422dd0f4d8e3032b2d9c0f84b464f280a1ed129365,6,9,0,1
R.1.0.0.0.1.0.0.0.1,0.1904604672185497,0.19115812460762863,round19_v2_projected_centering,4c81c5b70b1dcbfb,08e4755e97d502d40a833a221b3feecef6fca304cf1473d6850a43383355c6db,08e4755e97d502d40a833a221b3feecef6fca304cf1473d6850a43383355c6db,6,9,0,1
R.1.0.0.0.1.0.0.0.0,0.18976280982947075,0.1904604672185497,round19_v2_projected_centering,8a7f64e160996b84,4d70796aafe2486cad180684c2deb851ffb4f2ce20f6152d5312a2b2d8166980,4d70796aafe2486cad180684c2deb851ffb4f2ce20f6152d5312a2b2d8166980,6,9,0,1
R.1.0.0.0.0.1.1.1.1.0,0.18906515244039179,0.18941398113493127,round19_v2_projected_centering,7b471d02694b78a4,31da7caae69b15f85f43e5b2ef53a9c4c9aa12fca939915bf2c1ff7d12003353,31da7caae69b15f85f43e5b2ef53a9c4c9aa12fca939915bf2c1ff7d12003353,6,9,0,1
R.1.0.0.0.0.1.1.1.1.1,0.18941398113493127,0.18976280982947075,round19_v2_projected_centering,6b85fc6f5d6bb823,6647c01ac177b0b68ad18c9655bf2eea222c2a372be324360cf7f44e8a95ab48,6647c01ac177b0b68ad18c9655bf2eea222c2a372be324360cf7f44e8a95ab48,6,9,0,1
R.1.0.0.0.1.0.0.0.0.0,0.18976280982947075,0.19011163852401022,round19_v2_projected_centering,2c0820ab6698c0f4,8187b639a5d42a6e64d44633dfdb428c558ec653d0be91952005b4c18c2d4e80,8187b639a5d42a6e64d44633dfdb428c558ec653d0be91952005b4c18c2d4e80,6,9,0,1
R.1.0.0.0.1.0.0.0.0.1,0.19011163852401022,0.1904604672185497,round19_v2_projected_centering,b3e54382a8328382,3a26677bb3384541496ea239a986650ac9b789d51391afcc5ac2e68129aedba3,3a26677bb3384541496ea239a986650ac9b789d51391afcc5ac2e68129aedba3,6,9,0,1
R.0.1.1.1.1.0,0.16743777337894478,0.17301903249157627,round19_v2_projected_centering,71f55f882662366f,ead8b867eebb5e0571f65cc09f8cd9328dd41634bdf2c7cf190e7138e74ca7ac,ead8b867eebb5e0571f65cc09f8cd9328dd41634bdf2c7cf190e7138e74ca7ac,6,9,0,1
R.0.1.1.1.1.1,0.17301903249157627,0.17860029160420776,round19_v2_projected_centering,0d58c04ed2f2ad8a,26f8ba560f487c569563592bff43ebcb65801bb99fd0561cbcffe77dd5dca580,26f8ba560f487c569563592bff43ebcb65801bb99fd0561cbcffe77dd5dca580,6,9,0,1
