instance_id,arm,model_sha256,model_variables,model_binary_variables,model_integer_variables,model_continuous_variables,model_build_seconds,model_read_seconds,model_linear_constraints,model_nonzeros,model_general_constraints,selector_variables,perspective_variables,presolved_rows,presolved_columns,presolved_nonzeros
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-SIBLING-CORE,411f8bd9c4eb903856fc5e227730a62203c2030282c122249cfe7d6074fdd8a0;744e971e58b5b46c9f475e8f6365d26fdb8fbec3feb60bf1e01d283228e0c746,3352,,,,2.8735293,0.5930055000000001,36467,353472,1409,4,540,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-SIBLING-CORE-FACTORED,046807f61f86f8dfbdb2871e17178cc35b071ea989c8159f702636ec5a24ec32;12a0caca805841d32eeec9d2f2617f82bf3d66f5f10a1b282947443a95730ba2,3352,,,,3.0351971,0.6416063,36167,352485,809,4,540,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-HGA-FULL-K4,,0,,,,2.0478748,0.41812209999999994,0,0,0,0,0,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-K1-SINGLE,,0,,,,0.2130725,0.0434644,0,0,0,0,0,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,EXTERNAL-K2-FIXED,d18f5694f71e75f4c88db8c8dbb7a965f9ba1f50fbc4ea3d51e8ff7d6f271d97;42211c0ca11817d0945e315112f79f7edd8e51a04b9f7f83a7585e511346e5d5,3080,1216,240,1624,0.427892,0.0958395,34116,337161,704,,,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K2-P-CORE,1693154241130c30f9715276f1ba5af8435f0d27991a51aa498f59ba5391f722,1676,609,120,947,0.2303022,0.0474351,17529,169845,704,2,270,7466,1550,91621
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K4-P-CORE,4a54c1b8f4022f94012e89c67c53f4ca7ad168440cda72ff0a1bb89535ec563a,1948,611,120,1217,0.2542209,0.050506,18471,172726,1408,4,540,8708,1860,99994
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K4-P-CORE-HIERARCHICAL,a190e58b24fc37e703c15e9ae8bfb23ee35cf2557b035897cb92a365827910b2,1950,613,120,1217,0.2500415,0.0513713,18474,172734,1408,4,540,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,PAIRED-K4,16725133f0dfd2ed0f220e9ff5aecb47cb4de51eab603bdf47cc5ed063647a2f;d29c0fce3c6434d446dcf4c4b13aa968be1d099592f2d65ae623f14031bbbb0e,3352,1218,240,1894,0.47679,0.1045693,35058,340042,1408,,,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,PAIRED-K4-FACTORED,544757db881e030f27ab27e3daf6b192b63527dcc63e331df50e9f38fb44cccf;afd8b80e3e59b01bd82db5ab5e63efc4fcaae68e50cfd04bae2c46b8e0aeaef3,3352,1218,240,1894,0.4735956,0.0997536,35357,341556,810,,,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-SIBLING-CORE,16725133f0dfd2ed0f220e9ff5aecb47cb4de51eab603bdf47cc5ed063647a2f,1676,,,,2.2891247999999997,0.47191189999999994,18233,176849,704,2,270,,,
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-SIBLING-CORE-FACTORED,544757db881e030f27ab27e3daf6b192b63527dcc63e331df50e9f38fb44cccf,1676,,,,2.3909481999999995,0.5093245,18081,176275,400,2,270,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,,0,,,,1.3296602999999998,0.250118,0,0,0,0,0,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-K1-SINGLE,,0,,,,0.0589741,0.0126415,0,0,0,0,0,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,EXTERNAL-K2-FIXED,47de59ed64a2251e296e6868d1fac029373faa085e2205d4ab28d153a7581a40;df855ccf650a026098a450d580c1f732d1918ab3de78d04ef08e1c16709a815f,2302,892,200,1210,0.1329109,0.0270318,13020,88591,490,,,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K2-P-CORE,439e4aa5ff0fff49ad2614397cb235d76ed37c7bc3f4775dde639d51585066d1,1263,447,100,716,0.0747931,0.0152567,6897,45334,490,2,222,2518,910,14394
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K4-P-CORE,cea1fa5755bb1d39868f0434a9c4ce5cf4108b0e1b6da7cae906d5fbf524418c,1487,449,100,938,0.0899546,0.0167561,7671,47698,981,4,444,3297,1123,18552
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,ST-K4-P-CORE-HIERARCHICAL,4a2556a0ba5be879c1a14742e402cb30eea017abf5a7ccbc44c70b670b4040aa,1489,451,100,938,0.0896244,0.0167933,7674,47706,981,4,444,0,0,0
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,PAIRED-K4,b5967c2a8ea879486227f94daccae4c28f5b9afb5f8e828c0a2b863cd45b1f3b;201f92a689ea589f098dc58de792de9f677a2e439ba5a1a1eec7dd366329cb6b,2526,894,200,1432,0.1600984,0.0315462,13794,90955,981,,,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,PAIRED-K4-FACTORED,cf8ef8ab33fde23a18ceb153ed4808be6ff05ac5dfd75daf3c426233848a4d1a;0c6c8490e3e6b53dbd0081914a281cd037bbf70af43bc7420c57ed78d3ea5e45,2526,894,200,1432,0.152923,0.0302968,14006,92049,557,,,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-SIBLING-CORE,,0,,,,1.4430835,0.30441480000000004,0,0,0,0,0,,,
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-SIBLING-CORE-FACTORED,,0,,,,1.3654354000000002,0.3270313000000001,0,0,0,0,0,,,
