run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r001,stage3_300s,K1-r001,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04082067723059129,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r012,stage3_300s,K1-r012,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04082067723059129,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r015,stage3_300s,K1-r015,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04224579640184012,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r020,stage3_300s,K1-r020,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04224579640184012,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r050,stage3_300s,K1-r050,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04224579640184012,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r001,stage3_300s,K4-r001,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.037101511960814584,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r012,stage3_300s,K4-r012,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.037101511960814584,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r015,stage3_300s,K4-r015,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.037101511960814584,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r020,stage3_300s,K4-r020,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.037101511960814584,0.04500155005562836,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r050,stage3_300s,K4-r050,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.037101511960814584,0.04500155005562836,True
